City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Half Moon Bay,US,37.4636,-122.4286,51.8,53,1,4.61,clear sky
80,Ankazoabo,MG,-22.2833,44.5167,78.49,75,73,2.21,light rain
81,Nioro,GM,13.35,-15.75,101.55,8,21,4.76,few clouds
82,Codrington,AU,-38.2667,141.9667,69.89,44,100,12.24,light rain
83,Esperance,AU,-33.8667,121.9,55.4,76,90,5.75,overcast clouds
84,Yellowknife,CA,62.456,-114.3525,-25.01,68,20,10.36,few clouds
85,Susanville,US,40.4163,-120.653,26.6,74,1,1.61,clear sky
86,Chokurdakh,RU,70.6333,147.9167,-8.48,84,0,17.18,clear sky
87,Solnechnyy,RU,50.7214,136.6319,-20.72,81,0,3.31,clear sky
88,Dingle,PH,10.9995,122.6711,74.44,92,52,7.52,broken clouds
89,Kitimat,CA,54.0524,-128.6534,35.01,96,100,2.8,overcast clouds
90,Bokoro,TD,12.3807,17.0568,84.25,14,0,12.24,clear sky
91,Krasnoselkup,RU,65.7,82.4667,-14.37,89,92,6.49,overcast clouds
92,Belem De Sao Francisco,BR,-8.7539,-38.9658,95.27,27,0,5.88,clear sky
93,Aklavik,CA,68.2191,-135.0107,-45.4,66,20,2.3,fog
94,Barrow,US,71.2906,-156.7887,-25.6,68,20,8.05,few clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,-38.2,67,20,10.36,mist
96,Mumbwa,ZM,-14.9783,27.0619,69.08,88,54,0.98,light rain
97,Atambua,ID,-9.1061,124.8925,73.2,89,100,1.95,light rain
98,Ust-Tsilma,RU,65.441,52.1498,-2.07,91,100,6.04,overcast clouds
99,Tromso,NO,69.6496,18.957,30.2,80,75,3.44,light snow
100,Okha,RU,53.5739,142.9478,-12.42,88,100,21.25,overcast clouds
101,Villa Constitucion,AR,-33.2278,-60.3297,84.99,52,0,1.99,clear sky
102,Puerto Escondido,MX,15.85,-97.0667,84.2,74,40,4.61,scattered clouds
103,Cabo San Lucas,MX,22.8909,-109.9124,80.01,36,20,3.44,few clouds
104,Kahului,US,20.8947,-156.47,66.2,88,40,5.75,scattered clouds
105,Umm Lajj,SA,25.0213,37.2685,70.27,54,54,10.38,broken clouds
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.6,48,20,20.71,few clouds
107,Longyearbyen,SJ,78.2186,15.6401,15.8,67,40,17.27,scattered clouds
108,Mount Gambier,AU,-37.8333,140.7667,55.4,94,40,13.8,light rain
109,Aykhal,RU,66.0,111.5,-29.92,82,100,4.5,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,-9.74,72,99,3.89,overcast clouds
111,Port Elizabeth,ZA,-33.918,25.5701,71.6,78,20,5.75,few clouds
112,Orlik,RU,52.5178,99.825,8.17,87,81,5.7,broken clouds
113,Cayenne,GF,4.9333,-52.3333,82.4,69,90,13.8,overcast clouds
114,Mackay,AU,-21.15,149.2,78.8,83,40,9.22,scattered clouds
115,Noumea,NC,-22.2763,166.4572,79.0,100,20,3.04,few clouds
116,Bethel,US,41.3712,-73.414,36.0,51,75,10.36,broken clouds
117,Portree,GB,57.4129,-6.1942,36.0,84,100,11.01,overcast clouds
118,Katsuura,JP,35.1333,140.3,39.99,48,20,8.05,few clouds
119,Wote,KE,-1.7808,37.6288,69.13,65,0,4.59,clear sky
120,Atuona,PF,-9.8,-139.0333,77.97,71,34,10.8,scattered clouds
121,Broken Hill,AU,-31.95,141.4333,71.6,46,82,11.5,broken clouds
122,Tilichiki,RU,60.4667,166.1,-0.04,95,86,13.82,light snow
123,Kavieng,PG,-2.5744,150.7967,82.87,73,100,6.8,overcast clouds
124,Simnas,LT,54.4,23.65,21.2,68,90,10.36,light snow
125,Soe,ID,-9.8607,124.284,65.91,100,100,4.76,overcast clouds
126,Surt,LY,31.2089,16.5887,62.13,61,0,6.98,clear sky
127,San Cristobal,VE,7.7669,-72.225,95.0,31,20,9.22,few clouds
128,Kaitangata,NZ,-46.2817,169.8464,52.0,76,0,8.01,clear sky
129,Alofi,NU,-19.0595,-169.9187,75.2,100,100,5.75,light rain
130,Broome,US,42.2506,-75.833,34.0,69,1,10.36,clear sky
131,Booue,GA,-0.0921,11.9385,80.44,84,70,2.26,light rain
132,Asyut,EG,27.181,31.1837,66.2,48,75,20.71,broken clouds
133,Nishihara,JP,26.1842,127.7558,60.8,58,1,3.44,clear sky
134,Sal Rei,CV,16.1833,-22.9167,73.4,64,90,23.02,overcast clouds
135,Nisia Floresta,BR,-6.0911,-35.2086,87.8,58,40,14.97,scattered clouds
136,Jalu,LY,29.0331,21.5482,61.43,52,0,7.25,clear sky
137,Port Keats,AU,-14.25,129.55,82.15,80,100,13.29,moderate rain
138,Lebu,CL,-37.6167,-73.65,71.42,50,0,6.73,clear sky
139,Thompson,CA,55.7435,-97.8558,-9.4,77,90,11.5,snow
140,Arraial Do Cabo,BR,-22.9661,-42.0278,95.0,54,20,25.32,few clouds
141,Iqaluit,CA,63.7506,-68.5145,8.6,85,90,26.46,snow
142,Singaparna,ID,-7.3515,108.111,72.55,87,100,3.38,overcast clouds
143,Ostrovnoy,RU,68.0531,39.5131,10.67,92,100,20.15,overcast clouds
144,Kununurra,AU,-15.7667,128.7333,80.6,100,100,5.75,overcast clouds
145,Verkhoyansk,RU,67.5447,133.385,-42.86,72,31,2.01,scattered clouds
146,Greeneville,US,36.1632,-82.831,35.01,60,1,0.72,clear sky
147,Sambava,MG,-14.2667,50.1667,78.89,85,87,5.53,light rain
148,Ilhabela,BR,-23.7781,-45.3581,88.65,56,53,5.32,broken clouds
149,Kattivakkam,IN,13.2167,80.3167,75.2,64,40,10.94,haze
150,Kupang,ID,-10.1667,123.5833,79.93,84,100,11.99,overcast clouds
151,Weiser,US,44.251,-116.9693,33.8,69,1,4.61,clear sky
152,Severo-Kurilsk,RU,50.6789,156.125,9.52,89,97,13.89,light snow
153,Lucea,JM,18.451,-78.1736,84.0,69,20,21.85,few clouds
154,Juneau,US,58.3019,-134.4197,26.6,93,90,3.42,mist
155,Ponta Do Sol,PT,32.6667,-17.1,55.99,57,91,1.99,overcast clouds
156,Aksarka,RU,66.5606,67.7975,-15.3,89,89,5.7,overcast clouds
157,Grindavik,IS,63.8424,-22.4338,37.4,87,75,20.71,broken clouds
158,Texarkana,US,33.4251,-94.0477,64.0,77,90,12.66,overcast clouds
159,Qaanaaq,GL,77.484,-69.3632,-21.42,58,42,6.93,scattered clouds
160,Avera,US,33.194,-82.5271,50.0,40,1,6.91,clear sky
161,Kvitok,RU,56.0724,98.4813,12.09,95,100,8.46,overcast clouds
162,Galesong,ID,-5.3166,119.3661,73.4,100,40,4.61,scattered clouds
163,Toccoa,US,34.5773,-83.3324,45.0,31,1,3.06,clear sky
164,Dunedin,NZ,-45.8742,170.5036,52.0,76,7,1.01,clear sky
165,Berlevag,NO,70.8578,29.0864,26.6,93,90,20.71,snow
166,Melfi,IT,40.9965,15.6514,53.01,87,0,9.22,clear sky
167,Mestia,GE,43.0458,42.7278,34.34,81,80,0.98,broken clouds
168,Loa Janan,ID,-0.583,117.095,74.01,96,100,1.32,overcast clouds
169,Quatre Cocos,MU,-20.2078,57.7625,80.6,74,20,9.22,few clouds
170,Martaban,MM,16.5314,97.6111,74.1,52,0,3.06,clear sky
171,Guanare,VE,9.0418,-69.7421,93.78,40,58,6.02,broken clouds
172,South Valley,US,35.0101,-106.6781,46.99,31,20,11.5,few clouds
173,Acajutla,SV,13.5928,-89.8275,82.4,44,0,6.49,clear sky
174,Nangwa,TZ,-4.4667,35.45,61.36,94,98,2.95,moderate rain
175,Fort Nelson,CA,58.8053,-122.7002,-14.8,64,75,2.3,light snow
176,Tsiroanomandidy,MG,-18.7667,46.0333,69.67,92,100,4.41,light rain
177,Tazovskiy,RU,67.4667,78.7,-20.76,87,83,7.31,broken clouds
178,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,40,6.91,light rain
179,Namatanai,PG,-3.6667,152.4333,78.66,81,100,3.4,overcast clouds
180,Manoel Urbano,BR,-8.8389,-69.2597,92.05,54,90,2.75,overcast clouds
181,Faya,SA,18.3851,42.4509,62.6,59,0,8.05,clear sky
182,Cabra,ES,37.4725,-4.4421,60.8,72,0,4.61,clear sky
183,Maine-Soroa,NE,13.2114,12.0241,78.91,17,0,10.8,clear sky
184,Korla,CN,41.7597,86.1469,28.18,83,9,3.78,clear sky
185,Sorland,NO,67.667,12.6934,37.4,70,20,12.66,few clouds
186,Leon,MX,21.1167,-101.6667,71.6,30,1,3.11,clear sky
187,Lima,PE,-12.0432,-77.0282,72.0,78,0,9.22,clear sky
